X,Y
75,20
55,38
65,20
50,20
65,20
90,40
75,15
60,60
65,65
80,35
75,38
62,25
45,30
50,38
49,30
82,50
87,38
45,14
70,25
48,55
65,25
65,30
68,35
53,60
75,30
80,38
95,40
70,45
58,38
82,30
94,38
85,45
50,35
50,30
65,50
69,35
90,50
82,50
60,30
60,38
70,20
50,30
70,45
72,50
60,60
50,38
51,25
60,38
80,20
57,30
68,25
53,20
60,62
70,50
60,38
95,30
70,35
60,40
49,20
72,20
45,25
50,40
55,35
45,35
45,80
60,20
42,15
72,25
70,25
65,25
41,40
58,35
85,35
65,50
69,20
60,20
70,60
42,40
75,38
55,45
70,40
67,50
60,25
79,50
59,25
51,50
55,35
65,60
44,40
57,25
70,45
60,45
42,60
60,25
58,38
58,60
63,25
70,60
60,25
63,40
65,25
75,45
80,25
42,30
60,50
72,30
55,45
45,35
63,38
45,35
85,60
55,35
50,25
70,60
60,40
58,40
60,60
85,60
65,60
86,38
60,60
66,38
60,38
60,30
60,40
43,50
46,17
58,60
61,30
53,35
53,60
60,45
46,40
63,60
81,35
75,40
65,60
68,25
62,35
50,30
80,38
46,35
50,30
61,40
72,25
50,30
52,30
64,60
75,30
60,35
72,45
62,60
50,45
50,35
65,35
60,25
52,35
50,25
85,50
59,45
66,40
45,35
63,40
50,35
45,30
80,38
53,60
59,20
65,40
70,35
51,35
52,40
70,60
50,20
65,35
60,60
69,40
49,50
63,60
55,40
40,30
59,25
65,25
75,38
58,25
60,30
50,50
60,25
60,40
40,45
80,35
64,60
50,40
73,30
45,20
77,45
45,38
65,30
50,20
60,35
63,45
45,60
70,60
60,25
78,40
50,45
40,40
85,38
60,40
49,35
70,17
50,62
78,50
48,30
65,35
73,35
70,50
54,70
68,35
55,35
73,20
65,50
42,35
47,25
58,25
75,60
58,25
55,35
65,25
72,25
60,30
70,35
40,35
53,38
53,45
77,50
75,50
70,30
65,40
55,45
70,35
65,30
40,35
73,40
54,38
61,38
55,25
64,25
40,35
53,40
50,30
55,35
50,45
70,35
53,60
52,30
65,38
58,38
45,25
53,50
55,40
62,40
65,25
68,60
61,38
50,35
55,20
56,38
45,38
40,35
44,30
51,40
67,38
42,40
60,30
45,38
70,35
70,38
50,30
55,38
70,40
70,40
42,30
65,38
50,40
55,40
60,35
45,55
65,35
90,38
45,55
60,35
52,38
63,35
62,38
55,38
45,60
45,38
50,45
